ReservableOptionMarketGroupId,WeekBeforeArrival,actual_incremental,pred_incremental_simulated
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,25,0.0,0.4127557438092191
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,24,0.0,0.3758389351755065
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,23,0.0,0.369301295519556
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,22,0.0,0.3649382777343204
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,21,0.0,0.3499658748915804
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,20,0.0,0.348762280589003
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,19,0.0,0.3529499015398186
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,18,0.0,0.35310599834891265
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,17,0.0,0.35128937568562985
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,16,0.0,0.3475618405725682
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,15,0.0,0.3391460151019924
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,14,0.0,0.323779580285459
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,13,0.0,0.31930972337109315
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,12,1.0,0.32100045941874294
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,11,0.0,0.3197888410205393
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,10,0.0,0.3199927575924762
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,9,0.0,0.3160982771395135
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,8,0.0,0.31589635931503757
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,7,0.0,0.3157957968655255
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,6,0.0,0.31197728226002264
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,5,0.0,0.298694121925654
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,4,0.0,0.28253943817300475
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,3,0.0,0.2872042553753475
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,2,0.0,0.28370388039681105
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,1,0.0,0.2954457748495588
Benelux-Quaquaval-Sizzlipede-Mobile-2024-02-19,0,0.0,0.2945843349288884
Domestic-Obstagoon-Finneon-Static-2024-06-24,52,5.0,3.061238691879991e-7
Domestic-Obstagoon-Finneon-Static-2024-06-24,51,2.0,0.004266245941683787
